IDEmpresa;Nombre Comercial;Web;Dirección;C.P.;Localidad;Provincia;HEART OF SPAIN
1030;LOS ZAMORANOS;www.loszamoranos.com;CAMINO DE VALPARAISO  S/N;49400;FUENTESAUCO;ZAMORA;
1182;EL ARRIERO MARAGATO;www.elarrieromaragato.com;POL. INDUSTRIAL DE ASTORGA C/ EL CHOCOLATE 109;24700;ASTORGA;LEON;
1243;EMBUTIDOS LA ENCINA;www.embutidoslaencina.com;CALLE DE LOS ANCARES S/N;24439;VEGA DE ESPINAREDA;LEON;
1398;BODEGA BARCOLOBO;www.barcolobo.com;CARRETERA SAN ROMAN DE HORNIJA S/N;47520;CASTRONUÑO;VALLADOLID;
1529;INDUSTRIAS CARNICAS GARRUDO;www.jamonesgarrudo.es;CARRETERA SORIA-PLASENCIA S/N N-110 KM. 313;05500;PIEDRAHITA;AVILA;
1724;HIJOS DE ANTONIO POLO;www.pagopenafiel.com;CALLE LA OLMA 5;47300;PEÑAFIEL;VALLADOLID;
1827;EMBUTIDOS PAULINO;www.paulinoiglesias.com;POL. INDUSTRIAL CAMPO DE AVIACION CTRA. N-122 KM. 449,5;49530;CORESES;ZAMORA;
1862;INDUSTRIAS DEL BIERZO;www.ibsabierzo.com;CALLE SAN ROQUE S/N;24549;CARRACEDELO;LEON;
1865;ILBESA;www.ilbesa.com;CALLE CAÑADA SANABRESA  S/N;49600;BENAVENTE;ZAMORA;
1995;LA CUEVA DE VADORREY;www.lacuevadevadorrey.com;CARRETERA ROA-PEÑAFIEL KM. 2,5;09317;CUEVA DE ROA (LA);BURGOS;
2385;MORCILLAS TERE;www.morcillastere.com;CAMINO VIVAR 3;09140;QUINTANILLA-VIVAR O QUINTANILLA MOROCISLA;BURGOS;
2416;NIETO SANCHEZ, EMILIA;;CALLE CALLEJA REAL  S/N;40144;COBOS DE SEGOVIA;SEGOVIA;
2586;PASTAS Y HOJALDRES UKO;www.pastasyhojaldresuko.com;PASEO  DE VALDESGARES S/N;34840;CERVERA DE PISUERGA;PALENCIA;AUTORIZADO
2789;QUESOS MARCOS CONDE;www.marcosconde.com;CARRETERA ZAMORA-SALAMANCA KM. 283;49190;MORALES DEL VINO;ZAMORA;
2804;QUESOS DEL DUERO;www.garciabaquero.com;CARRETERA CASTRONUEVO KM. 1,4;49800;TORO;ZAMORA;
2977;JAMONES EL RUBIO;www.elrubioguijuelo.com;CARRETERA GIJON-SEVILLA KM. 396,5;37777;CABEZA DE BEJAR (LA);SALAMANCA;
2981;SALAZONES CARNICAS HERME;www.pinante.com;CALLE COBERTIZOS 2;37770;GUIJUELO;SALAMANCA;
25796;BODEGA BURDIGALA;www.campoeliseo.es;CARRETERA TORDESILLAS 14;49800;TORO;ZAMORA;
30000;MORCILLAS RAMIRO;www.morcillasramiro.com;AVENIDA GALICIA 103 GALERIAS DE SAN JOSE;49024;ZAMORA;ZAMORA;
33184;MONCEDILLO;www.moncedillo.com;POL. INDUSTRIAL LAS CORONAS DE ABAJO CMNO. CARRAQUINTANAR 10;40551;CAMPO DE SAN PEDRO;SEGOVIA;
33332;EMBUTIDOS ARTESANALES FIDALGO;;CARRETERA VILLALPANDO KM. 16;49136;VILLAFAFILA;ZAMORA;
35896;FRESGALLIMAZO;;PASEO ESTACION 11;37320;VILLAR DE GALLIMAZO;SALAMANCA;
37573;DELGADO CABALLERO, SERGIO;www.hortalizasmauri.com;CARRETERA NACIONAL 122  84;34257;PALENZUELA;PALENCIA;
39215;RIERA SAN FERNANDO CONTRATAS Y EXPLOTACIONES;www.ibericosmarcelino.com;AVENIDA RUTA DE LA PLATA 26;49700;CORRALES DEL VINO;ZAMORA;
39655;VIÑEDOS SAMPEDRO Y ALONSO;https://sampedroyalonso.com/;CALLE LOS PINARES 2;24530;VILLADECANES;LEON;
39815;WINE & SPIRITTS TRADE;www.dominiodelasierra.com;CALLE FEDERICO GARCÍA LORCA  (EDIFICIO CGB) S/N;37187;ALDEATEJADA;SALAMANCA;
40135;DOMUS VETTONIA;https://zoleam.com;CALLE TOMAS DE LA PUENTE 1;37219;YECLA DE YELTES;SALAMANCA;
18;ASOCIACION PRODUCTORES Y COMERCIANTES LAS CADERECHAS;www.caderechas.com;PLAZA MAYOR 1;09593;SALAS DE BUREBA;BURGOS;
156;ALBERTO Y BENITO;www.bodegasbriego.com;CARRETERA DE CUELLAR 5;47311;FOMPEDRAZA;VALLADOLID;
169;BODEGAS Y VIÑEDOS SANTAMARIA;www.bodega-santamaria.com;CALLE PONIENTE 18;47290;CUBILLAS DE SANTA MARTA;VALLADOLID;
606;BODEGAS VIYUELA;www.bodegasviyuela.com;CARRETERA QUINTANAMANVIRGO S/N;09314;BOADA DE ROA;BURGOS;
622;BODEGAS Y VIÑEDOS GALLEGO ZAPATERO;www.bodegasgallegozapatero.com;CALLE SEGUNDA TRAVESIA DE LA OLMA 4;09313;ANGUIX;BURGOS;
715;CAPRINO DE CANDELEDA;www.ganaderosdecaprino.es;CALLE PARAJE EL HORCO S/N;05480;CANDELEDA;AVILA;
849;CARNICAS PONIENTE;www.castellanadecarnes.es;AVENIDA DEL EURO S/N PARC. 14 (MERCAOLID);47009;VALLADOLID;VALLADOLID;
896;C.H. VINOS DE CUBILLAS;www.bodegaschvinosdecubillas.com;PASEO FUENTE LA TEJA 31;47290;CUBILLAS DE SANTA MARTA;VALLADOLID;
1226;EMBUTIDOS EZEQUIEL;www.embutidosezequiel.com;CARRETERA N630 KM. 99,500;24680;VILLAMANIN DE LA TERCIA;LEON;
1332;FELIPE HERNANDEZ JIMENEZ;www.hernandezjimenez.com;POL. INDUSTRIAL AGROALIMENTARIO SIERRA DE TONDA 15;37770;GUIJUELO;SALAMANCA;
1736;HIJOS DE DIONISIO SANCHEZ;https://www.jamonesdionisiosanchez.es/;CAMINO CARRENUEVA S/N;49400;FUENTESAUCO;ZAMORA;
1977;JULIAN MARTIN;"www.julianmartin.es;www.jamonturismo.es";CARRETERA CAMPILLO 68;37770;GUIJUELO;SALAMANCA;
2212;JAMONES MANUEL ANGEL RODRIGUEZ;www.jamonesmanuelangelrodriguez.com;CALLE DOCTOR FLEMING 42;37778;CAMPILLO DE SALVATIERRA;SALAMANCA;
2796;QUESERIAS PICOS DE EUROPA;www.quesospicosdeeuropa.com;TRAVESIA DE PRADA 2;24915;POSADA DE VALDEON (CONCEJO DE VALDEON);LEON;
3170;VAL DE ORNEDO;;CALLE PARAJE DEL MANAN S/N;24544;CARRACEDO DEL MONASTERIO;LEON;
3251;VIÑA MAMBRILLA;www.mambrilla.com;CARRETERA PEDROSA S/N;09317;MAMBRILLA DE CASTREJON;BURGOS;
33334;EMBUTIDOS MANOLO;www.embutidosmanolo.com;POL. INDUSTRIAL VILLADANGOS DEL PARAMO C/ 2 PARC. 83;24392;VILLADANGOS DEL PARAMO;LEON;
36611;BODEGAS NABAL;www.bodegasnabal.com;AUTOVIA A1 SALIDA 168 CTRA. VILLANUEVA DE GUMIEL  S/N;09370;GUMIEL DE IZAN;BURGOS;
37454;CARNICAS CHICO;www.carnicaschico.com;CARRETERA VALLADOLID 44;09400;ARANDA DE DUERO;BURGOS;
38855;FUENTES PEREZ, PABLO;www.iberanez.com;TRAVESIA CARBONERO 4;40441;MIGUELAÑEZ;SEGOVIA;
39155;AGRICOLA RIOVA;www.grupopalaciodevillachica.com;CARRETERA COGECES DEL MONTE KM. 0,5;47300;PEÑAFIEL;VALLADOLID;
28;ASOCIACION PROVINCIAL DE FABRICANTES Y EXPENDEDORES DE PAN DE VALLADOLID;www.pandevalladolid.com;PLAZA MADRID 4  3º 3;47001;VALLADOLID;VALLADOLID;
